Rank,Airline,Country,ASM_2025,ASM_2024,ASM_2023,ASM_2022,ASM_2021,ASM_2020,ASM_2019,Ref
1,United Airlines,United States,330,311,291,248,179,123,285,[1]
2,American Airlines,United States,299,293,278,260,215,143,285,[2]
3,Delta Air Lines,United States,298,288,272,233,194,134,275,[3]
4,Southwest Airlines,United States,180,178,170,148,132,103,157,[4]
5,Air Canada,Canada,105,104,99,,,,,[5]
6,Alaska Airlines,United States,100,76,69,61,53,37,67,[6]
7,JetBlue,United States,65,66,68,65,54,33,64,[7]
8,Spirit Airlines†,United States,40,53,56,49,41,28,42,[8]
9,Frontier Airlines,United States,40,40,38,,,,,[9]
10,Sun Country Airlines,United States,8,8,7,1,1,4,6,[10]
