Rank,Airline,Country,ASM_2025,ASM_2024,ASM_2023,ASM_2022,ASM_2021,ASM_2020,ASM_2019,Ref,Passengers_2025,Passengers_2024,Passengers_2023,Passengers_2022,Passengers_2021,Passengers_2020,Passengers_2019,Destinations,Daily departures
1,United Airlines,United States,330,311,291,248,179,123,285,[1],"181,053,000","173,603,000","164,927,000","144,300,000","104,082,000","57,761,000","162,443,000",240,"4,167"
2,American Airlines,United States,299,293,278,260,215,143,285,[2],"223,540,000","226,405,000","210,692,000","199,288,000","165,682,000","95,324,000","215,182,000",233,"5,946"
3,Delta Air Lines,United States,298,288,272,233,194,134,275,[3],"200,000,000","200,000,000","190,000,000","177,000,000",TBA,TBA,"204,000,000",212,"4,343"
4,Southwest Airlines,United States,180,178,170,148,132,103,157,[4],"168,334,000","175,466,000","171,817,000","156,982,000","123,264,000","67,785,000","162,681,000",106,"3,592"
5,Air Canada,Canada,105,104,99,,,,,[5],"45,297,000","45,886,000","44,790,000","36,144,000","13,192,000","13,760,000","51,543,000",48,"1,500"
6,Alaska Airlines,United States,100,76,69,61,53,37,67,[6],"58,627,000","49,238,000","44,557,000","41,468,000","32,407,000","17,927,000","46,733,000",111,"1,200"
7,JetBlue,United States,65,66,68,65,54,33,64,[7],,,,,,,,67,925
8,Spirit Airlines†,United States,40,53,56,49,41,28,42,[8],"32,031,000","44,180,000","44,105,000","38,463,000","30,828,000","18,746,000","34,537,000",,
9,Frontier Airlines,United States,40,40,38,,,,,[9],"33,200,000","33,296,000","30,218,000","25,486,000","20,708,000","13,065,000","21,869,000",81,500
10,Sun Country Airlines,United States,8,8,7,1,1,4,6,[10],"4,205,847","4,483,515","4,140,663","3,598,584","2,733,364","1,740,000","3,127,000",74,47
